2016.03.28 20:30:10.030019 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:10.037822 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
2016.03.28 20:30:10.063127 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591382fff in devices list
2016.03.28 20:30:10.068538 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 125->> update devices finish
2016.03.28 20:30:10.076592 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:10.086459 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:10.092259 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:10.117028 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:10.126624 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:10.152059 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:10.157177 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:10.184236 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:10.191830 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:10.216812 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
2016.03.28 20:30:10.224345 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
2016.03.28 20:30:10.247333 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:10.258424 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
2016.03.28 20:30:10.283126 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591382fff in devices list
2016.03.28 20:30:10.290591 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 125->> update devices finish
2016.03.28 20:30:10.296313 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:10.306279 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:10.313924 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:10.339070 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:10.345689 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:10.382312 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:10.390945 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:10.417132 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:10.432452 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:10.467162 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
